   T-Score        Voxel (x,y,z)        p-value

 5.51310481,      (29, 28, 30),     1.33446223e-07
 5.16801768,      (29, 28, 31),     5.90150644e-07
 5.03066786,      (30, 28, 29),     1.05174518e-06
 6.13180509,      (31, 32, 27),     8.30465163e-09
 5.37667512,      (31, 32, 28),     2.41583851e-07
 5.05666397,      (31, 33, 27),     9.43386160e-07
 6.15307847,      (31, 33, 28),     7.53125173e-09
 6.19327594,      (31, 33, 29),     6.25867014e-09
 5.11041661,      (31, 33, 30),     7.52729984e-07
 5.0346388        (31, 34, 28),     1.03444138e-06
 5.02820842,      (31, 34, 29),     1.06260354e-06
 5.83236559,      (31, 35, 27),     3.23738923e-08
 5.48688439,      (31, 35, 28),     1.49654975e-07
 5.43854207,      (31, 35, 29),     1.84745804e-07
 5.46324305,      (31, 35, 30),     1.65912771e-07
 5.52779415,      (32, 35, 28),     1.25131100e-07
 5.52276043,      (35, 30, 8),     1.27921663e-07
 5.7542655]       (35, 31, 8),      4.59355046e-08
 5.8574649]       (36, 31, 8),      2.89178034e-08
 6.34149723,      (36, 32, 8),      3.14963156e-09














